,species,dband,location,hab,abundance,m,COEF,X,abu.corr,species.fb
1203,Jeboehlkia gladifer,240,Curacao,deep,4,m,2.350351807,NA,9.401407228,Jeboehlkia gladifer
1204,Jeboehlkia gladifer,250,Curacao,deep,5,m,3.051927409,NA,15.25963705,Jeboehlkia gladifer
1041,Haemulon striatum,120,Roatan,shallow,30,m,2.170731707,120,65.12195121,Haemulon striatum
287,Canthigaster rostrata,120,Roatan,deep,28,m,2.170731707,120,60.7804878,Canthigaster rostrata
1207,Jeboehlkia gladifer,260,Curacao,deep,2,m,2.855374707,NA,5.710749414,Jeboehlkia gladifer
1208,Jeboehlkia gladifer,270,Curacao,deep,2,m,3.382094313,NA,6.764188626,Jeboehlkia gladifer
1209,Jeboehlkia gladifer,280,Curacao,deep,1,m,3.295256757,NA,3.295256757,Jeboehlkia gladifer
288,Canthigaster rostrata,120,Roatan,shallow,28,m,2.170731707,120,60.7804878,Canthigaster rostrata
208,Bullisichthys caribbaeus,120,Roatan,deep,20,m,2.170731707,120,43.41463414,Bullisichthys caribbaeus
209,Bullisichthys caribbaeus,120,Roatan,shallow,20,m,2.170731707,120,43.41463414,Bullisichthys caribbaeus
1560,Palatogobius grandoculus,120,Roatan,deep,20,m,2.170731707,120,43.41463414,Palatogobius grandoculus
1214,Jeboehlkia gladifer,300,Curacao,deep,1,m,8.196605042,NA,8.196605042,Jeboehlkia gladifer
1561,Palatogobius grandoculus,120,Roatan,shallow,20,m,2.170731707,120,43.41463414,Palatogobius grandoculus
82,Antilligobius nikkiae,120,Roatan,deep,15,m,2.170731707,120,32.56097561,Antilligobius nikkiae
83,Antilligobius nikkiae,120,Roatan,shallow,15,m,2.170731707,120,32.56097561,Antilligobius nikkiae
1289,Liopropoma mowbrayi,120,Roatan,deep,12,m,2.170731707,120,26.04878048,Liopropoma mowbrayi
1290,Liopropoma mowbrayi,120,Roatan,shallow,12,m,2.170731707,120,26.04878048,Liopropoma mowbrayi
1406,Lipogramma klayi,120,Roatan,deep,4,m,2.170731707,120,8.682926828,Lipogramma klayi
1407,Lipogramma klayi,120,Roatan,shallow,4,m,2.170731707,120,8.682926828,Lipogramma klayi
247,Canthigaster jamestyleri,120,Roatan,deep,3,m,2.170731707,120,6.512195121,Canthigaster jamestyleri
248,Canthigaster jamestyleri,120,Roatan,shallow,3,m,2.170731707,120,6.512195121,Canthigaster jamestyleri
1224,Lactophrys triqueter,70,Bonaire,deep,2,m,2.085070543,NA,4.170141086,Lactophrys triqueter
1225,Liopropoma aberrans,90,Curacao,deep,2,m,1.187769118,NA,2.375538236,Liopropoma aberrans
1226,Liopropoma aberrans,110,Curacao,deep,7,m,1.161185714,NA,8.128299998,Liopropoma aberrans
873,Flammeo marianus,120,Roatan,deep,3,m,2.170731707,120,6.512195121,Neoniphon marianus
874,Flammeo marianus,120,Roatan,shallow,3,m,2.170731707,120,6.512195121,Neoniphon marianus
1229,Liopropoma aberrans,120,Bonaire,deep,1,m,1.127104229,NA,1.127104229,Liopropoma aberrans
1230,Liopropoma aberrans,120,Curacao,deep,7,m,1.127104229,NA,7.889729603,Liopropoma aberrans
327,Caranx lugubris,120,Roatan,deep,2,m,2.170731707,120,4.341463414,Caranx lugubris
328,Caranx lugubris,120,Roatan,shallow,2,m,2.170731707,120,4.341463414,Caranx lugubris
1233,Liopropoma aberrans,130,Curacao,deep,4,m,1.303308391,NA,5.213233564,Liopropoma aberrans
644,Chromis insolata,120,Roatan,deep,2,m,2.170731707,120,4.341463414,Chromis insolata
645,Chromis insolata,120,Roatan,shallow,2,m,2.170731707,120,4.341463414,Chromis insolata
1236,Liopropoma aberrans,140,Curacao,deep,4,m,1.365335946,NA,5.461343784,Liopropoma aberrans
1231,Liopropoma aberrans,120,Roatan,deep,2,m,2.170731707,120,4.341463414,Liopropoma aberrans
1232,Liopropoma aberrans,120,Roatan,shallow,2,m,2.170731707,120,4.341463414,Liopropoma aberrans
1239,Liopropoma aberrans,150,Curacao,deep,8,m,1.188927353,NA,9.511418824,Liopropoma aberrans
2022,Serranus luciopercanus,120,Roatan,deep,2,m,2.170731707,120,4.341463414,Serranus luciopercanus
2023,Serranus luciopercanus,120,Roatan,shallow,2,m,2.170731707,120,4.341463414,Serranus luciopercanus
1242,Liopropoma aberrans,160,Bonaire,deep,1,m,1.212877394,NA,1.212877394,Liopropoma aberrans
1243,Liopropoma aberrans,160,Curacao,deep,1,m,1.212877394,NA,1.212877394,Liopropoma aberrans
688,Chromis scotti,120,Roatan,deep,1,m,2.170731707,120,2.170731707,Chromis scotti
689,Chromis scotti,120,Roatan,shallow,1,m,2.170731707,120,2.170731707,Chromis scotti
1246,Liopropoma aberrans,170,Curacao,deep,4,m,1.172632844,NA,4.690531376,Liopropoma aberrans
722,Corniger spinosus,120,Roatan,deep,1,m,2.170731707,120,2.170731707,Corniger spinosus
723,Corniger spinosus,120,Roatan,shallow,1,m,2.170731707,120,2.170731707,Corniger spinosus
1174,Holocentrus rufus,120,Roatan,deep,1,m,2.170731707,120,2.170731707,Holocentrus rufus
1175,Holocentrus rufus,120,Roatan,shallow,1,m,2.170731707,120,2.170731707,Holocentrus rufus
1418,Lipogramma levinsoni,120,Roatan,deep,1,m,2.170731707,120,2.170731707,Lipogramma levinsoni
1419,Lipogramma levinsoni,120,Roatan,shallow,1,m,2.170731707,120,2.170731707,Lipogramma levinsoni
1253,Liopropoma aberrans,240,Curacao,deep,1,m,2.350351807,NA,2.350351807,Liopropoma aberrans
1254,Liopropoma carmabi,70,Bonaire,deep,1,m,2.085070543,NA,2.085070543,Liopropoma carmabi
1255,Liopropoma carmabi,70,St. Eustatius,deep,1,m,5.971062422,NA,5.971062422,Liopropoma carmabi
1256,Liopropoma carmabi,80,Bonaire,deep,2,m,1.181725224,NA,2.363450448,Liopropoma carmabi
1257,Liopropoma carmabi,160,St. Eustatius,deep,1,m,4.342754059,NA,4.342754059,Liopropoma carmabi
1477,Myctoperca bonaci,120,Roatan,deep,1,m,2.170731707,120,2.170731707,Mycteroperca bonaci
1478,Myctoperca bonaci,120,Roatan,shallow,1,m,2.170731707,120,2.170731707,Mycteroperca bonaci
1260,Liopropoma mowbrayi,50,Curacao,deep,1,m,0.999995899,NA,0.999995899,Liopropoma mowbrayi
1751,Pristigenys alta,120,Roatan,deep,1,m,2.170731707,120,2.170731707,Pristigenys alta
1752,Pristigenys alta,120,Roatan,shallow,1,m,2.170731707,120,2.170731707,Pristigenys alta
1263,Liopropoma mowbrayi,60,Curacao,deep,3,m,2.016114097,NA,6.048342291,Liopropoma mowbrayi
1921,Pterois volitans,120,Roatan,deep,1,m,2.170731707,120,2.170731707,Pterois volitans
1922,Pterois volitans,120,Roatan,shallow,1,m,2.170731707,120,2.170731707,Pterois volitans
1266,Liopropoma mowbrayi,70,Curacao,deep,7,m,2.085070543,NA,14.5954938,Liopropoma mowbrayi
87,Antilligobius nikkiae,130,Roatan,deep,45,m,2.542857143,130,114.4285714,Antilligobius nikkiae
88,Antilligobius nikkiae,130,Roatan,shallow,45,m,2.542857143,130,114.4285714,Antilligobius nikkiae
1269,Liopropoma mowbrayi,70,St. Eustatius,deep,1,m,5.971062422,NA,5.971062422,Liopropoma mowbrayi
1270,Liopropoma mowbrayi,80,Bonaire,deep,5,m,1.181725224,NA,5.90862612,Liopropoma mowbrayi
1271,Liopropoma mowbrayi,80,Curacao,deep,13,m,1.181725224,NA,15.36242791,Liopropoma mowbrayi
289,Canthigaster rostrata,130,Roatan,deep,21,m,2.542857143,130,53.4,Canthigaster rostrata
290,Canthigaster rostrata,130,Roatan,shallow,21,m,2.542857143,130,53.4,Canthigaster rostrata
1274,Liopropoma mowbrayi,80,St. Eustatius,deep,1,m,3.768327681,NA,3.768327681,Liopropoma mowbrayi
1275,Liopropoma mowbrayi,90,Bonaire,deep,1,m,1.187769118,NA,1.187769118,Liopropoma mowbrayi
1276,Liopropoma mowbrayi,90,Curacao,deep,24,m,1.187769118,NA,28.50645883,Liopropoma mowbrayi
212,Bullisichthys caribbaeus,130,Roatan,deep,10,m,2.542857143,130,25.42857143,Bullisichthys caribbaeus
213,Bullisichthys caribbaeus,130,Roatan,shallow,10,m,2.542857143,130,25.42857143,Bullisichthys caribbaeus
1279,Liopropoma mowbrayi,90,St. Eustatius,deep,1,m,1,NA,1,Liopropoma mowbrayi
1280,Liopropoma mowbrayi,100,Curacao,deep,31,m,1.379236425,NA,42.75632918,Liopropoma mowbrayi
1293,Liopropoma mowbrayi,130,Roatan,deep,7,m,2.542857143,130,17.8,Liopropoma mowbrayi
1294,Liopropoma mowbrayi,130,Roatan,shallow,7,m,2.542857143,130,17.8,Liopropoma mowbrayi
1283,Liopropoma mowbrayi,100,St. Eustatius,deep,11,m,1.546301253,NA,17.00931378,Liopropoma mowbrayi
1284,Liopropoma mowbrayi,110,Curacao,deep,27,m,1.161185714,NA,31.35201428,Liopropoma mowbrayi
250,Canthigaster jamestyleri,130,Roatan,deep,6,m,2.542857143,130,15.25714286,Canthigaster jamestyleri
251,Canthigaster jamestyleri,130,Roatan,shallow,6,m,2.542857143,130,15.25714286,Canthigaster jamestyleri
1287,Liopropoma mowbrayi,110,St. Eustatius,deep,15,m,1.300675371,NA,19.51013057,Liopropoma mowbrayi
1288,Liopropoma mowbrayi,120,Curacao,deep,3,m,1.127104229,NA,3.381312687,Liopropoma mowbrayi
1375,Lipogramma idabeli,130,Roatan,deep,3,m,2.542857143,130,7.628571429,Lipogramma evides
1376,Lipogramma idabeli,130,Roatan,shallow,3,m,2.542857143,130,7.628571429,Lipogramma evides
1291,Liopropoma mowbrayi,120,St. Eustatius,deep,8,m,3.838426787,NA,30.7074143,Liopropoma mowbrayi
1292,Liopropoma mowbrayi,130,Curacao,deep,2,m,1.303308391,NA,2.606616782,Liopropoma mowbrayi
2025,Serranus luciopercanus,130,Roatan,deep,3,m,2.542857143,130,7.628571429,Serranus luciopercanus
2026,Serranus luciopercanus,130,Roatan,shallow,3,m,2.542857143,130,7.628571429,Serranus luciopercanus
1295,Liopropoma mowbrayi,130,St. Eustatius,deep,4,m,3.42437174,NA,13.69748696,Liopropoma mowbrayi
1234,Liopropoma aberrans,130,Roatan,deep,2,m,2.542857143,130,5.085714286,Liopropoma aberrans
1235,Liopropoma aberrans,130,Roatan,shallow,2,m,2.542857143,130,5.085714286,Liopropoma aberrans
1298,Liopropoma mowbrayi,140,St. Eustatius,deep,4,m,5.143874644,NA,20.57549858,Liopropoma mowbrayi
1562,Palatogobius grandoculus,130,Roatan,deep,2,m,2.542857143,130,5.085714286,Palatogobius grandoculus
1563,Palatogobius grandoculus,130,Roatan,shallow,2,m,2.542857143,130,5.085714286,Palatogobius grandoculus
1301,Liopropoma olneyi,110,Bonaire,deep,3,m,1.161185714,NA,3.483557142,Liopropoma olneyi
1302,Liopropoma olneyi,110,Curacao,deep,6,m,1.161185714,NA,6.967114284,Liopropoma olneyi
1303,Liopropoma olneyi,120,Bonaire,deep,4,m,1.127104229,NA,4.508416916,Liopropoma olneyi
1304,Liopropoma olneyi,120,Curacao,deep,13,m,1.127104229,NA,14.65235498,Liopropoma olneyi
1305,Liopropoma olneyi,130,Bonaire,deep,4,m,1.303308391,NA,5.213233564,Liopropoma olneyi
1306,Liopropoma olneyi,130,Curacao,deep,8,m,1.303308391,NA,10.42646713,Liopropoma olneyi
1307,Liopropoma olneyi,140,Bonaire,deep,9,m,1.365335946,NA,12.28802351,Liopropoma olneyi
1308,Liopropoma olneyi,140,Curacao,deep,7,m,1.365335946,NA,9.557351622,Liopropoma olneyi
1309,Liopropoma olneyi,140,St. Eustatius,deep,1,m,5.143874644,NA,5.143874644,Liopropoma olneyi
1310,Liopropoma olneyi,150,Bonaire,deep,13,m,1.188927353,NA,15.45605559,Liopropoma olneyi
1311,Liopropoma olneyi,150,Curacao,deep,12,m,1.188927353,NA,14.26712824,Liopropoma olneyi
1312,Liopropoma olneyi,150,St. Eustatius,deep,4,m,3.366899767,NA,13.46759907,Liopropoma olneyi
1313,Liopropoma olneyi,160,Bonaire,deep,2,m,1.212877394,NA,2.425754788,Liopropoma olneyi
1314,Liopropoma olneyi,160,Curacao,deep,7,m,1.212877394,NA,8.490141758,Liopropoma olneyi
1315,Liopropoma olneyi,160,St. Eustatius,deep,7,m,4.342754059,NA,30.39927841,Liopropoma olneyi
1316,Liopropoma olneyi,170,Curacao,deep,5,m,1.172632844,NA,5.86316422,Liopropoma olneyi
589,Chromis enchrysura,130,Roatan,deep,1,m,2.542857143,130,2.542857143,Chromis enchrysura
590,Chromis enchrysura,130,Roatan,shallow,1,m,2.542857143,130,2.542857143,Chromis enchrysura
1319,Liopropoma olneyi,170,St. Eustatius,deep,3,m,3.76734481,NA,11.30203443,Liopropoma olneyi
1320,Liopropoma olneyi,180,Curacao,deep,12,m,1.724533239,NA,20.69439887,Liopropoma olneyi
1321,Liopropoma olneyi,180,St. Eustatius,deep,2,m,4.174566474,NA,8.349132948,Liopropoma olneyi
1322,Liopropoma olneyi,190,Curacao,deep,4,m,1.643187332,NA,6.572749328,Liopropoma olneyi
1323,Liopropoma olneyi,190,St. Eustatius,deep,2,m,3.571711177,NA,7.143422354,Liopropoma olneyi
1324,Liopropoma olneyi,200,St. Eustatius,deep,2,m,3.862032086,NA,7.724064172,Liopropoma olneyi
1325,Liopropoma olneyi,220,Curacao,deep,2,m,1.136560242,NA,2.273120484,Liopropoma olneyi
691,Chromis scotti,130,Roatan,deep,1,m,2.542857143,130,2.542857143,Chromis scotti
692,Chromis scotti,130,Roatan,shallow,1,m,2.542857143,130,2.542857143,Chromis scotti
876,Flammeo marianus,130,Roatan,deep,1,m,2.542857143,130,2.542857143,Neoniphon marianus
877,Flammeo marianus,130,Roatan,shallow,1,m,2.542857143,130,2.542857143,Neoniphon marianus
1330,Liopropoma santi,180,Curacao,deep,1,m,1.724533239,NA,1.724533239,Liopropoma santi
1331,Liopropoma santi,240,Curacao,deep,1,m,2.350351807,NA,2.350351807,Liopropoma santi
1564,Palatogobius grandoculus,140,Roatan,deep,220,m,1.893617021,140,416.5957446,Palatogobius grandoculus
1565,Palatogobius grandoculus,140,Roatan,shallow,220,m,1.893617021,140,416.5957446,Palatogobius grandoculus
92,Antilligobius nikkiae,140,Roatan,deep,129,m,1.893617021,140,244.2765957,Antilligobius nikkiae
93,Antilligobius nikkiae,140,Roatan,shallow,129,m,1.893617021,140,244.2765957,Antilligobius nikkiae
1336,Lipogramma barrettorum,130,Curacao,deep,2,m,1.303308391,NA,2.606616782,Lipogramma barrettorum
1337,Lipogramma barrettorum,160,Curacao,deep,1,m,1.212877394,NA,1.212877394,Lipogramma barrettorum
1338,Lipogramma evides,130,Curacao,deep,2,m,1.303308391,NA,2.606616782,Lipogramma evides
1339,Lipogramma evides,140,Bonaire,deep,5,m,1.365335946,NA,6.82667973,Lipogramma evides
1340,Lipogramma evides,150,Bonaire,deep,1,m,1.188927353,NA,1.188927353,Lipogramma evides
1341,Lipogramma evides,150,Curacao,deep,5,m,1.188927353,NA,5.944636765,Lipogramma evides
1342,Lipogramma evides,160,Bonaire,deep,1,m,1.212877394,NA,1.212877394,Lipogramma evides
1343,Lipogramma evides,160,Curacao,deep,5,m,1.212877394,NA,6.06438697,Lipogramma evides
1344,Lipogramma evides,170,Curacao,deep,11,m,1.172632844,NA,12.89896128,Lipogramma evides
1345,Lipogramma evides,180,Curacao,deep,9,m,1.724533239,NA,15.52079915,Lipogramma evides
1042,Haemulon striatum,140,Roatan,deep,24,m,1.893617021,140,45.4468085,Haemulon striatum
1043,Haemulon striatum,140,Roatan,shallow,24,m,1.893617021,140,45.4468085,Haemulon striatum
1348,Lipogramma evides,190,Curacao,deep,9,m,1.643187332,NA,14.78868599,Lipogramma evides
1349,Lipogramma evides,200,Curacao,deep,3,m,1.203301258,NA,3.609903774,Lipogramma evides
1350,Lipogramma evides,210,Curacao,deep,2,m,1.454078712,NA,2.908157424,Lipogramma evides
1607,Palatogobius incendius,140,Roatan,deep,21,m,1.893617021,140,39.76595744,Palatogobius grandoculus
1608,Palatogobius incendius,140,Roatan,shallow,21,m,1.893617021,140,39.76595744,Palatogobius grandoculus
291,Canthigaster rostrata,140,Roatan,deep,16,m,1.893617021,140,30.29787234,Canthigaster rostrata
292,Canthigaster rostrata,140,Roatan,shallow,16,m,1.893617021,140,30.29787234,Canthigaster rostrata
1355,Lipogramma evides,240,Curacao,deep,1,m,2.350351807,NA,2.350351807,Lipogramma evides
253,Canthigaster jamestyleri,140,Roatan,deep,13,m,1.893617021,140,24.61702127,Canthigaster jamestyleri
254,Canthigaster jamestyleri,140,Roatan,shallow,13,m,1.893617021,140,24.61702127,Canthigaster jamestyleri
1358,Lipogramma evides,240,St. Eustatius,deep,1,m,14.21653543,NA,14.21653543,Lipogramma evides
1359,Lipogramma evides,260,Curacao,deep,1,m,2.855374707,NA,2.855374707,Lipogramma evides
594,Chromis enchrysura,140,Roatan,deep,4,m,1.893617021,140,7.574468084,Chromis enchrysura
595,Chromis enchrysura,140,Roatan,shallow,4,m,1.893617021,140,7.574468084,Chromis enchrysura
1923,Pterois volitans,140,Roatan,deep,4,m,1.893617021,140,7.574468084,Pterois volitans
1924,Pterois volitans,140,Roatan,shallow,4,m,1.893617021,140,7.574468084,Pterois volitans
1856,Pronotogrammus martinicensis,140,Roatan,deep,3,m,1.893617021,140,5.680851063,Pronotogrammus martinicensis
1857,Pronotogrammus martinicensis,140,Roatan,shallow,3,m,1.893617021,140,5.680851063,Pronotogrammus martinicensis
2028,Serranus luciopercanus,140,Roatan,deep,3,m,1.893617021,140,5.680851063,Serranus luciopercanus
2029,Serranus luciopercanus,140,Roatan,shallow,3,m,1.893617021,140,5.680851063,Serranus luciopercanus
649,Chromis insolata,140,Roatan,deep,2,m,1.893617021,140,3.787234042,Chromis insolata
650,Chromis insolata,140,Roatan,shallow,2,m,1.893617021,140,3.787234042,Chromis insolata
1237,Liopropoma aberrans,140,Roatan,deep,2,m,1.893617021,140,3.787234042,Liopropoma aberrans
1238,Liopropoma aberrans,140,Roatan,shallow,2,m,1.893617021,140,3.787234042,Liopropoma aberrans
1372,Lipogramma haberi,150,Curacao,deep,1,m,1.188927353,NA,1.188927353,Lipogramma haberi
1373,Lipogramma haberi,180,Curacao,deep,1,m,1.724533239,NA,1.724533239,Lipogramma haberi
1374,Lipogramma haberi,230,Curacao,deep,1,m,1.644295347,NA,1.644295347,Lipogramma haberi
1905,Ptereleotris helenae,140,Roatan,deep,2,m,1.893617021,140,3.787234042,Ptereleotris helenae
1906,Ptereleotris helenae,140,Roatan,shallow,2,m,1.893617021,140,3.787234042,Ptereleotris helenae
215,Bullisichthys caribbaeus,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Bullisichthys caribbaeus
216,Bullisichthys caribbaeus,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Bullisichthys caribbaeus
1379,Lipogramma klayi,60,Bonaire,deep,1,m,2.016114097,NA,2.016114097,Lipogramma klayi
329,Caranx lugubris,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Caranx lugubris
330,Caranx lugubris,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Caranx lugubris
1382,Lipogramma klayi,70,Bonaire,deep,1,m,2.085070543,NA,2.085070543,Lipogramma klayi
1383,Lipogramma klayi,70,Curacao,deep,10,m,2.085070543,NA,20.85070543,Lipogramma klayi
879,Flammeo marianus,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Neoniphon marianus
880,Flammeo marianus,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Neoniphon marianus
1386,Lipogramma klayi,70,St. Eustatius,deep,1,m,5.971062422,NA,5.971062422,Lipogramma klayi
1387,Lipogramma klayi,80,Bonaire,deep,2,m,1.181725224,NA,2.363450448,Lipogramma klayi
1388,Lipogramma klayi,80,Curacao,deep,5,m,1.181725224,NA,5.90862612,Lipogramma klayi
1176,Holocentrus rufus,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Holocentrus rufus
1177,Holocentrus rufus,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Holocentrus rufus
1391,Lipogramma klayi,80,St. Eustatius,deep,1,m,3.768327681,NA,3.768327681,Lipogramma klayi
1392,Lipogramma klayi,90,Bonaire,deep,2,m,1.187769118,NA,2.375538236,Lipogramma klayi
1393,Lipogramma klayi,90,Curacao,deep,27,m,1.187769118,NA,32.06976619,Lipogramma klayi
1296,Liopropoma mowbrayi,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Liopropoma mowbrayi
1297,Liopropoma mowbrayi,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Liopropoma mowbrayi
1396,Lipogramma klayi,90,St. Eustatius,deep,4,m,1,NA,4,Lipogramma klayi
1397,Lipogramma klayi,100,Curacao,deep,5,m,1.379236425,NA,6.896182125,Lipogramma klayi
1409,Lipogramma klayi,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Lipogramma klayi
1410,Lipogramma klayi,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Lipogramma klayi
1400,Lipogramma klayi,100,St. Eustatius,deep,18,m,1.546301253,NA,27.83342255,Lipogramma klayi
1401,Lipogramma klayi,110,Bonaire,deep,1,m,1.161185714,NA,1.161185714,Lipogramma klayi
1402,Lipogramma klayi,110,Curacao,deep,2,m,1.161185714,NA,2.322371428,Lipogramma klayi
1425,Lipogramma levinsoni,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Lipogramma levinsoni
1426,Lipogramma levinsoni,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Lipogramma levinsoni
1405,Lipogramma klayi,110,St. Eustatius,deep,15,m,1.300675371,NA,19.51013057,Lipogramma klayi
1449,Malacanthus plumieri,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Malacanthus plumieri
1450,Malacanthus plumieri,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Malacanthus plumieri
1408,Lipogramma klayi,120,St. Eustatius,deep,10,m,3.838426787,NA,38.38426787,Lipogramma klayi
1740,Priacanthus arenatus,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Priacanthus arenatus
1741,Priacanthus arenatus,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Priacanthus arenatus
1411,Lipogramma levinsoni,90,Curacao,deep,2,m,1.187769118,NA,2.375538236,Lipogramma levinsoni
1412,Lipogramma levinsoni,100,Bonaire,deep,3,m,1.379236425,NA,4.137709275,Lipogramma levinsoni
1413,Lipogramma levinsoni,100,Curacao,deep,1,m,1.379236425,NA,1.379236425,Lipogramma levinsoni
1414,Lipogramma levinsoni,110,Bonaire,deep,2,m,1.161185714,NA,2.322371428,Lipogramma levinsoni
1415,Lipogramma levinsoni,110,Curacao,deep,4,m,1.161185714,NA,4.644742856,Lipogramma levinsoni
1416,Lipogramma levinsoni,120,Bonaire,deep,9,m,1.127104229,NA,10.14393806,Lipogramma levinsoni
1417,Lipogramma levinsoni,120,Curacao,deep,3,m,1.127104229,NA,3.381312687,Lipogramma levinsoni
1755,Pristigenys alta,140,Roatan,deep,1,m,1.893617021,140,1.893617021,Pristigenys alta
1756,Pristigenys alta,140,Roatan,shallow,1,m,1.893617021,140,1.893617021,Pristigenys alta
1420,Lipogramma levinsoni,130,Bonaire,deep,13,m,1.303308391,NA,16.94300908,Lipogramma levinsoni
1421,Lipogramma levinsoni,130,Curacao,deep,11,m,1.303308391,NA,14.3363923,Lipogramma levinsoni
1422,Lipogramma levinsoni,130,St. Eustatius,deep,2,m,3.42437174,NA,6.84874348,Lipogramma levinsoni
1423,Lipogramma levinsoni,140,Bonaire,deep,3,m,1.365335946,NA,4.096007838,Lipogramma levinsoni
1424,Lipogramma levinsoni,140,Curacao,deep,3,m,1.365335946,NA,4.096007838,Lipogramma levinsoni
1611,Palatogobius incendius,150,Roatan,deep,379,m,2.022727273,150,766.6136365,Palatogobius grandoculus
1612,Palatogobius incendius,150,Roatan,shallow,379,m,2.022727273,150,766.6136365,Palatogobius grandoculus
1427,Lipogramma levinsoni,150,Bonaire,deep,1,m,1.188927353,NA,1.188927353,Lipogramma levinsoni
1428,Lipogramma levinsoni,150,Curacao,deep,1,m,1.188927353,NA,1.188927353,Lipogramma levinsoni
1429,Lipogramma levinsoni,160,St. Eustatius,deep,2,m,4.342754059,NA,8.685508118,Lipogramma levinsoni
1430,Lipogramma levinsoni,170,St. Eustatius,deep,2,m,3.76734481,NA,7.53468962,Lipogramma levinsoni
1431,Lipogramma regium,100,St. Eustatius,deep,2,m,1.546301253,NA,3.092602506,Lipogramma evides
1432,Lipogramma regium,110,St. Eustatius,deep,2,m,1.300675371,NA,2.601350742,Lipogramma evides
1433,Lipogramma schrieri,170,Curacao,deep,3,m,1.172632844,NA,3.517898532,Lipogramma schrieri
1434,Lipogramma schrieri,180,Curacao,deep,1,m,1.724533239,NA,1.724533239,Lipogramma schrieri
1435,Lipogramma schrieri,190,Curacao,deep,1,m,1.643187332,NA,1.643187332,Lipogramma schrieri
1436,Lipogramma trilineata,90,St. Eustatius,deep,1,m,1,NA,1,Lipogramma trilineata
1437,Lipogramma trilineata,100,St. Eustatius,deep,3,m,1.546301253,NA,4.638903759,Lipogramma trilineata
1438,Lipogramma trilineata,110,St. Eustatius,deep,1,m,1.300675371,NA,1.300675371,Lipogramma trilineata
1566,Palatogobius grandoculus,150,Roatan,deep,210,m,2.022727273,150,424.7727273,Palatogobius grandoculus
1567,Palatogobius grandoculus,150,Roatan,shallow,210,m,2.022727273,150,424.7727273,Palatogobius grandoculus
1441,Malacanthus plumieri,40,St. Eustatius,deep,1,m,10.87650602,NA,10.87650602,Malacanthus plumieri
1442,Malacanthus plumieri,60,Bonaire,deep,3,m,2.016114097,NA,6.048342291,Malacanthus plumieri
1240,Liopropoma aberrans,150,Roatan,deep,11,m,2.022727273,150,22.25,Liopropoma aberrans
1241,Liopropoma aberrans,150,Roatan,shallow,11,m,2.022727273,150,22.25,Liopropoma aberrans
1445,Malacanthus plumieri,70,Bonaire,deep,2,m,2.085070543,NA,4.170141086,Malacanthus plumieri
1446,Malacanthus plumieri,80,Bonaire,deep,2,m,1.181725224,NA,2.363450448,Malacanthus plumieri
1447,Malacanthus plumieri,90,Bonaire,deep,3,m,1.187769118,NA,3.563307354,Malacanthus plumieri
1448,Malacanthus plumieri,100,Bonaire,deep,3,m,1.379236425,NA,4.137709275,Malacanthus plumieri
293,Canthigaster rostrata,150,Roatan,deep,4,m,2.022727273,150,8.090909092,Canthigaster rostrata
294,Canthigaster rostrata,150,Roatan,shallow,4,m,2.022727273,150,8.090909092,Canthigaster rostrata
1451,Malacanthus plumieri,180,Bonaire,deep,1,m,1.724533239,NA,1.724533239,Malacanthus plumieri
1759,Pristigenys alta,150,Roatan,deep,4,m,2.022727273,150,8.090909092,Pristigenys alta
1760,Pristigenys alta,150,Roatan,shallow,4,m,2.022727273,150,8.090909092,Pristigenys alta
598,Chromis enchrysura,150,Roatan,deep,3,m,2.022727273,150,6.068181819,Chromis enchrysura
1455,Mulloidichthys martinicus,40,Bonaire,deep,7,m,1.139215137,NA,7.974505959,Mulloidichthys martinicus
599,Chromis enchrysura,150,Roatan,shallow,3,m,2.022727273,150,6.068181819,Chromis enchrysura
1925,Pterois volitans,150,Roatan,deep,3,m,2.022727273,150,6.068181819,Pterois volitans
1458,Mulloidichthys martinicus,40,St. Eustatius,deep,1,m,10.87650602,NA,10.87650602,Mulloidichthys martinicus
1459,Mulloidichthys martinicus,50,Bonaire,deep,23,m,0.999995899,NA,22.99990568,Mulloidichthys martinicus
1926,Pterois volitans,150,Roatan,shallow,3,m,2.022727273,150,6.068181819,Pterois volitans
115,Apogon gouldi,150,Roatan,deep,2,m,2.022727273,150,4.045454546,Apogon gouldi
